id,team,year,career_game_count,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,player_id,match_date,fantasy_points,margin
512493,Essendon Bombers,2001.0,100.0,Richmond Tigers,QF,W,33.0,19.0,10.0,8.0,27.0,2.0,1.0,0.0,1.0,4.0,3.0,3.0,2.0,3.0,1.0,0.0,9.0,17.0,1.0,0.0,2.0,1.0,0.0,84.0,45406.0,2001-09-07,123.0,70.0
51162,Richmond Tigers,2009.0,45.0,Hawthorn Hawks,21,L,8.0,8.0,5.0,2.0,5.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,5.0,1.0,3.0,1.0,0.0,0.0,93.0,44785.0,2009-08-22,68.0,-42.0
93688,Richmond Tigers,2009.0,49.0,Hawthorn Hawks,21,L,20.0,9.0,7.0,7.0,11.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,7.0,9.0,2.0,3.0,0.0,0.0,0.0,97.0,44538.0,2009-08-22,94.0,-42.0
6681,St Kilda Saints,2009.0,55.0,North Melbourne Kangaroos,21,L,32.0,7.0,5.0,10.0,12.0,1.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,4.0,13.0,0.0,1.0,1.0,0.0,0.0,79.0,44460.0,2009-08-23,76.0,-5.0
72067,St Kilda Saints,2009.0,138.0,North Melbourne Kangaroos,21,L,23.0,8.0,7.0,5.0,8.0,3.0,1.0,4.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0,0.0,6.0,7.0,2.0,4.0,0.0,0.0,0.0,95.0,44239.0,2009-08-23,77.0,-5.0
87938,West Coast Eagles,2009.0,63.0,Adelaide Crows,21,L,11.0,7.0,4.0,12.0,14.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,3.0,2.0,1.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,83.0,44733.0,2009-08-22,76.0,-74.0
80548,Western Bulldogs,2009.0,160.0,Geelong Cats,21,W,9.0,11.0,4.0,2.0,8.0,1.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,0.0,1.0,4.0,1.0,0.0,88.0,43888.0,2009-08-21,72.0,14.0
117811,Western Bulldogs,2009.0,48.0,Geelong Cats,21,W,7.0,9.0,5.0,5.0,9.0,1.0,2.0,0.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,5.0,9.0,1.0,2.0,3.0,0.0,0.0,76.0,44044.0,2009-08-21,70.0,14.0
408408,Adelaide Crows,2010.0,10.0,Collingwood Magpies,21,L,48.0,6.0,5.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,0.0,1.0,1.0,0.0,1.0,75.0,44135.0,2010-08-21,41.0,-3.0
57683,Adelaide Crows,2010.0,15.0,Collingwood Magpies,21,L,29.0,0.0,1.0,2.0,-3.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,53.0,44889.0,2010-08-21,20.0,-3.0
